,0,1,2,3,4,5,6,7
149,$12per hour,"Barcelona, ES",Project Architect,Jun '22,2 Years of Experience,21-25 Years old,41.3828939,2.1774322
150,$18per hour,"Colorado, US",Junior Architect,Jun '22,1 Years of Experience,21-25 Years old,38.7251776,-105.607716
151,"$75,000per year","San Francisco, CA, US",Job Captain,Jun '22,3-5 Years of Experience,26-30 Years old,37.7790262,-122.419906
152,"$70,000per year","New York, NY, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,40.7127281,-74.0060152
153,$33per hour,"San Jose, CA, US",Job Captain,Jun '22,6-7 Years of Experience,26-30 Years old,37.3361905,-121.890583
154,"$54,000per year","Springfield, MO, US",Junior Architect,Jun '22,1 Years of Experience,21-25 Years old,37.2166779,-93.2920373
155,"$70,000per year","San Francisco, CA, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,37.7790262,-122.419906
156,"$63,000per year","San Francisco, CA, US",Designer,Jun '22,3 Years of Experience,26-30 Years old,37.7790262,-122.419906
157,$22per hour,"Riverside, CA, US",Student Intern,Jun '22,1 Years of Experience,21-25 Years old,33.9533546,-117.3961623
158,"€45,000per year","Antwerpen, BE",Junior Architect,Jun '22,3-5 Years of Experience,31-35 Years old,51.2211097,4.3997081
159,"$65,000per year","New York, NY, US",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,40.7127281,-74.0060152
160,"$72,000per year","Chicago, IL, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,41.8755616,-87.6244212
161,"CAD$61,200per year","Toronto, ON, CA",Junior Designer,Jun '22,2 Years of Experience,31-35 Years old,43.6534817,-79.3839347
162,"$65,000per year","Boston, MA, US",Designer,Jun '22,2 Years of Experience,21-25 Years old,42.3554334,-71.060511
163,$22per hour,"Cambridge, MA, US",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,42.3750997,-71.1056157
164,$22per hour,"Sacramento, CA, US",Student Intern,Jun '22,< 1 Years of Experience,26-30 Years old,38.5810606,-121.493895
165,"$52,000per year","Philadelphia, PA, US",Junior Designer,Jun '22,1 Years of Experience,26-30 Years old,39.9527237,-75.1635262
166,CAD$34per hour,"Montreal, QC, CA",Intermediate Architect,Jun '22,8-10 Years of Experience,31-35 Years old,45.5031824,-73.5698065
167,CAD$32per hour,"Montreal, QC, CA",Project Architect,Jun '22,3-5 Years of Experience,26-30 Years old,45.5031824,-73.5698065
168,CAD$29per hour,"Montreal, QC, CA",Intern,Jun '22,3-5 Years of Experience,26-30 Years old,45.5031824,-73.5698065
169,$29per hour,"Rancho Cucamonga, CA, US",Designer,Jun '22,3 Years of Experience,21-25 Years old,34.1279268,-117.56432205849399
170,$20per hour,"Chicago, IL, US",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,41.8755616,-87.6244212
171,"€42,000per year","Berlin, DE",Revit Specialist,Jun '22,3-5 Years of Experience,31-35 Years old,52.5170365,13.3888599
172,CAD$30per hour,"Montreal, QC, CA",Junior Architect,Jun '22,3-5 Years of Experience,26-30 Years old,45.5031824,-73.5698065
173,"AUD$60,000per year","Melbourne, AU",Junior Designer,Jun '22,3-5 Years of Experience,26-30 Years old,-37.8142176,144.9631608
174,"$75,000per year","Boston, MA, US",Associate,Jun '22,3-5 Years of Experience,31-35 Years old,42.3554334,-71.060511
175,"£29,500per year","London, GB",Junior Architect,Jun '22,2 Years of Experience,21-25 Years old,51.5073219,-0.1276474
176,"$65,000per year","Pasadena, CA, US",Intermediate Architect,Jun '22,3 Years of Experience,21-25 Years old,34.1476452,-118.1444779
177,$25per hour,"New York, NY, US",Student Intern,Jun '22,2 Years of Experience,26-30 Years old,40.7127281,-74.0060152
178,CAD$29per hour,"Montreal, QC, CA",Intern,Jun '22,3-5 Years of Experience,26-30 Years old,45.5031824,-73.5698065
179,AUD$75per year,"Brisbane, AU",Designer,Jun '22,3 Years of Experience,26-30 Years old,-27.4689682,153.0234991
180,"$120,000per year","New York, NY, US",Project Manager,Jun '22,8-10 Years of Experience,31-35 Years old,40.7127281,-74.0060152
181,"AUD$58,000per year","Brisbane, AU",Student Intern,Jun '22,2 Years of Experience,21-25 Years old,-27.4689682,153.0234991
182,"€2,950per year","Paris, FR",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,48.8588897,2.3200410217200766
183,"$65,000per year","Irvine, CA, US",Job Captain,Jun '22,1 Years of Experience,26-30 Years old,33.6856969,-117.8259819
184,"£32,000per year","London, GB",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,51.5073219,-0.1276474
185,"$60,320per year","Pasadena, CA, US",Designer,Jun '22,< 1 Years of Experience,26-30 Years old,34.1476452,-118.1444779
186,$19per hour,"Phoenix, AZ, US",Student Intern,Jun '22,< 1 Years of Experience,21-25 Years old,33.4484367,-112.074141
187,"$97,000per year","New York, NY, US",Project Manager,Jun '22,8-10 Years of Experience,31-35 Years old,40.7127281,-74.0060152
188,"$100,000per year","Springfield, MO, US",Senior Architect,Jun '22,11-15 Years of Experience,31-35 Years old,37.2166779,-93.2920373
189,"CAD$63,000per year","Toronto, ON, CA",Junior Designer,Jun '22,< 1 Years of Experience,26-30 Years old,43.6534817,-79.3839347
190,"kr62,400per year","Bucharest, RO",Project Architect,Jun '22,3-5 Years of Experience,31-35 Years old,44.4361414,26.1027202
191,"kr5,200per year","Bucharest, RO",Project Architect,Jun '22,3-5 Years of Experience,31-35 Years old,44.4361414,26.1027202
192,"$53,000per year","Pittsburgh, PA, US",Junior Designer,Jun '22,3 Years of Experience,21-25 Years old,40.4416941,-79.9900861
193,"$53,000per year","Boston, MA, US",Junior Designer,Jun '22,2 Years of Experience,21-25 Years old,42.3554334,-71.060511
194,"$40,000per year","Los Angeles, CA, US",Designer,Jun '22,1 Years of Experience,21-25 Years old,34.0536909,-118.242766
195,"$60,000per year","Hamilton, NZ",Designer,Jun '22,6-7 Years of Experience,36-40 Years old,-37.7878809,175.281788
196,"$73,250per year","New York, NY, US",Junior Designer,Jun '22,3 Years of Experience,26-30 Years old,40.7127281,-74.0060152
197,"$55,000per year","San Diego, CA, US",Designer,Jun '22,< 1 Years of Experience,21-25 Years old,32.7174202,-117.1627728
198,"$75,000per year","New York, NY, US",Junior Designer,Jun '22,3-5 Years of Experience,26-30 Years old,40.7127281,-74.0060152
199,"$62,000per year","Boston, MA, US",Designer,Jun '22,< 1 Years of Experience,26-30 Years old,42.3554334,-71.060511
200,"$6,200per year","Boston, MA, US",Designer,Jun '22,< 1 Years of Experience,26-30 Years old,42.3554334,-71.060511
201,"$63,000per year","Denver, CO, US",Project Architect,Jun '22,2 Years of Experience,21-25 Years old,39.7392364,-104.9848623
202,"$75,000per year","New York, NY, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,40.7127281,-74.0060152
203,"$42,000per year","Portland, OR, US",Intern,Jun '22,< 1 Years of Experience,31-35 Years old,45.5202471,-122.6741949
204,"$58,000per year","Los Angeles, CA, US",Junior Architect,Jun '22,3-5 Years of Experience,21-25 Years old,34.0536909,-118.242766
205,"$98,500per year","Boston, MA, US",Associate,Jun '22,3-5 Years of Experience,26-30 Years old,42.3554334,-71.060511
206,"$58,032per year","Boston, MA, US",Designer,Jun '22,2 Years of Experience,21-25 Years old,42.3554334,-71.060511
207,$20per hour,"New York, NY, US",Intern,Jun '22,< 1 Years of Experience,18-20 Years old,40.7127281,-74.0060152
208,"$36,000per year","Brooklyn, NY, US",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,40.6526006,-73.9497211
209,"$65,000per year","Boston, MA, US",Designer,Jun '22,2 Years of Experience,26-30 Years old,42.3554334,-71.060511
210,R$9per hour,"São Paulo, BR",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,-23.5506507,-46.6333824
211,"$78,000per year","Seattle, WA, US",Job Captain,Jun '22,6-7 Years of Experience,31-35 Years old,47.6038321,-122.3300624
212,R$11per hour,"São Paulo, BR",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,-23.5506507,-46.6333824
213,"18,000 (local currency)per year","São Paulo, BR",Intern,Jun '22,1 Years of Experience,21-25 Years old,-23.5506507,-46.6333824
214,"$12,636per year","Prague, CZ",Junior Architect,Jun '22,3 Years of Experience,26-30 Years old,50.0596288,14.446459273258009
215,CAD$25per hour,"Ottawa, ON, CA",Intern,Jun '22,2 Years of Experience,26-30 Years old,45.4208777,-75.6901106
216,"$83,000per year","New York, NY, US",Senior Designer,Jun '22,3-5 Years of Experience,26-30 Years old,40.7127281,-74.0060152
217,"€2,400per year","Donostia-San Sebastián, ES",Student Intern,Jun '22,< 1 Years of Experience,21-25 Years old,43.3224219,-1.9838889
218,"HK$504,000per year","Hong Kong, HK",Junior Architect,Jun '22,6-7 Years of Experience,31-35 Years old,22.2793278,114.1628131
219,$20per hour,"Milwaukee, WI, US",Student Intern,Jun '22,3-5 Years of Experience,21-25 Years old,43.0349931,-87.922497
220,$20per hour,"Milwaukee, WI, US",Associate,Jun '22,1 Years of Experience,21-25 Years old,43.0349931,-87.922497
221,"$78,000per year","New York, NY, US",Intermediate Architect,Jun '22,3 Years of Experience,26-30 Years old,40.7127281,-74.0060152
222,$22per hour,"Albuquerque, NM, US",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,35.0841034,-106.650985
223,"$63,000per year","Dallas, TX, US",Interior Designer,Jun '22,1 Years of Experience,26-30 Years old,32.7762719,-96.7968559
224,"$48,000per year","Columbus, OH, US",Designer,Jun '22,1 Years of Experience,21-25 Years old,39.9622601,-83.0007065
225,"$95,000per year","Los Angeles, CA, US",Senior Designer,Jun '22,8-10 Years of Experience,31-35 Years old,34.0536909,-118.242766
226,"$75,000per year","Los Angeles, CA, US",Project Manager,Jun '22,3-5 Years of Experience,26-30 Years old,34.0536909,-118.242766
227,"£28,000per year","Glasgow, GB",Intermediate Architect,Jun '22,2 Years of Experience,21-25 Years old,55.8609825,-4.2488787
228,"$77,000per year","Austin, TX, US",Project Architect,Jun '22,3-5 Years of Experience,26-30 Years old,30.2711286,-97.7436995
229,"$70,000per year","Brooklyn, NY, US",Intermediate Designer,Jun '22,3-5 Years of Experience,26-30 Years old,40.6526006,-73.9497211
230,"$50,000per year","Philadelphia, PA, US",Designer,Jun '22,< 1 Years of Experience,26-30 Years old,39.9527237,-75.1635262
231,"€31,200per year","Madrid, ES",Intermediate Architect,Jun '22,8-10 Years of Experience,31-35 Years old,40.4167047,-3.7035825
232,"AUD$77,000per year","Melbourne, AU",Intermediate Architect,Jun '22,3-5 Years of Experience,31-35 Years old,-37.8142176,144.9631608
233,$10per hour,"Houston, TX, US",Intern,Jun '22,1 Years of Experience,21-25 Years old,29.7589382,-95.3676974
234,"$54,000per year","Washington, DC, US",Designer,Jun '22,3-5 Years of Experience,21-25 Years old,38.8950368,-77.0365427
235,"$63,000per year","Chicago, IL, US",Junior Architect,Jun '22,< 1 Years of Experience,21-25 Years old,41.8755616,-87.6244212
236,"$65,000per year","Fort Worth, TX, US",Junior Architect,Jun '22,6-7 Years of Experience,26-30 Years old,32.753177,-97.3327459
237,"MXN$240,000per year","Mexico, MX",Project Architect,Jun '22,1 Years of Experience,26-30 Years old,23.6585116,-102.0077097
238,"$50,000per year","Houston, TX, US",Project Manager,Jun '22,< 1 Years of Experience,26-30 Years old,29.7589382,-95.3676974
239,"AUD$67,000per year","Brisbane, AU",Junior Architect,Jun '22,3-5 Years of Experience,26-30 Years old,-27.4689682,153.0234991
240,"$48,000per year","Richmond, VA, US",Associate,Jun '22,< 1 Years of Experience,21-25 Years old,37.5385087,-77.43428
241,"CAD$62,500per year","Toronto, ON, CA",Project Architect,Jun '22,3-5 Years of Experience,31-35 Years old,43.6534817,-79.3839347
242,"$88,000per year","New York, NY, US",Intermediate Designer,Jun '22,6-7 Years of Experience,31-35 Years old,40.7127281,-74.0060152
243,$26per hour,"Boston, MA, US",Designer,Jun '22,1 Years of Experience,21-25 Years old,42.3554334,-71.060511
244,"€18,600per year","Barcelona, ES",Intermediate Architect,Jun '22,3-5 Years of Experience,31-35 Years old,41.3828939,2.1774322
245,"$60,000per year","Los Angeles, CA, US",Junior Designer,Jun '22,2 Years of Experience,26-30 Years old,34.0536909,-118.242766
246,"$62,000per year","Columbus, OH, US",Associate,Jun '22,3 Years of Experience,26-30 Years old,39.9622601,-83.0007065
247,"£30,000per year","London, GB",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,51.5073219,-0.1276474
248,"$82,000per year","Seattle, WA, US",Intermediate Architect,Jun '22,6-7 Years of Experience,26-30 Years old,47.6038321,-122.3300624
249,"$72,000per year","Richmond, VA, US",Project Architect,Jun '22,8-10 Years of Experience,31-35 Years old,37.5385087,-77.43428
250,"£27,000per year","Leicester, GB",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,52.6361398,-1.1330789
251,"$90,000per year","New York, NY, US",Project Architect,Jun '22,8-10 Years of Experience,31-35 Years old,40.7127281,-74.0060152
252,"67,500 (local currency)per year","Auckland, NZ",Junior Architect,Jun '22,3-5 Years of Experience,26-30 Years old,-36.852095,174.7631803
253,$10per hour,"Puerto Rico, US",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,18.19897685,-66.26152219418967
254,€8per hour,"Barcelona, ES",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,41.3828939,2.1774322
255,"$69,000per year","Pittsburgh, PA, US",Project Architect,Jun '22,11-15 Years of Experience,36-40 Years old,40.4416941,-79.9900861
256,"$60,000per year","Richmond, VA, US",Junior Architect,Jun '22,2 Years of Experience,21-25 Years old,37.5385087,-77.43428
257,"$72,000per year","Denver, CO, US",Junior Architect,Jun '22,3-5 Years of Experience,26-30 Years old,39.7392364,-104.9848623
258,"$67,500per year","Nashville, TN, US",Associate,Jun '22,3-5 Years of Experience,21-25 Years old,36.1622767,-86.7742984
259,"$79,000per year","New Orleans, LA, US",Associate,Jun '22,8-10 Years of Experience,36-40 Years old,29.9759983,-90.0782127
260,"€30,000per year","Rome, IT",Intermediate Designer,Jun '22,3-5 Years of Experience,26-30 Years old,41.8933203,12.4829321
261,$25per hour,"Los Angeles, CA, US",Junior Designer,Jun '22,< 1 Years of Experience,26-30 Years old,34.0536909,-118.242766
262,"$78,000per year","New York, NY, US",Project Architect,Jun '22,3-5 Years of Experience,26-30 Years old,40.7127281,-74.0060152
263,"72,000 (local currency)per year",United Arab Emirates,BIM Specialist,Jun '22,1 Years of Experience,26-30 Years old,24.0002488,53.9994829
264,"$90,000per year","Philadelphia, PA, US",BIM Specialist,Jun '22,1 Years of Experience,26-30 Years old,39.9527237,-75.1635262
265,"MXN$84,000per year","Monterrey, MX",Junior Architect,Jun '22,1 Years of Experience,21-25 Years old,25.6802019,-100.315258
266,"$63,000per year","New York, NY, US",Junior Architect,Jun '22,1 Years of Experience,21-25 Years old,40.7127281,-74.0060152
267,"730,000 (local currency)per year","Bergen, NO",Senior Architect,Jun '22,16-20 Years of Experience,41-45 Years old,60.3943055,5.3259192
268,"$82,000per year","San Antonio, TX, US",Associate,Jun '22,8-10 Years of Experience,36-40 Years old,29.4246002,-98.4951405
269,"$56,000per year","Nashville, TN, US",Intermediate Designer,Jun '22,3-5 Years of Experience,26-30 Years old,36.1622767,-86.7742984
270,"$78,000per year","Parsippany, NJ, US",Designer,Jun '22,3-5 Years of Experience,31-35 Years old,40.8578772,-74.4259866
271,"$73,000per year","New York, NY, US",Designer,Jun '22,1 Years of Experience,21-25 Years old,40.7127281,-74.0060152
272,"$95,000per year","San Francisco, CA, US",Senior Designer,Jun '22,8-10 Years of Experience,31-35 Years old,37.7790262,-122.419906
273,"$62,400per year","New York, NY, US",Junior Architect,Jun '22,2 Years of Experience,21-25 Years old,40.7127281,-74.0060152
274,"$54,000per year","Pensacola, FL, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,30.421309,-87.2169149
275,"$86,500per year","Los Angeles, CA, US",Project Manager,Jun '22,6-7 Years of Experience,26-30 Years old,34.0536909,-118.242766
276,"$80,000per year","Los Angeles, CA, US",Project Manager,Jun '22,6-7 Years of Experience,26-30 Years old,34.0536909,-118.242766
277,CAD$30per hour,"Saskatoon, SK, CA",Intern,Jun '22,2 Years of Experience,26-30 Years old,52.131802,-106.660767
278,"$71,000per year","Los Angeles, CA, US",Designer,Jun '22,3-5 Years of Experience,31-35 Years old,34.0536909,-118.242766
279,"$75,000per year","Spokane, WA, US",Designer,Jun '22,3 Years of Experience,26-30 Years old,47.6571934,-117.4235106
280,"€11,000per year","Athens, GR",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,37.9839412,23.7283052
281,"$52,000per year","Pensacola, FL, US",Designer,Jun '22,3 Years of Experience,31-35 Years old,30.421309,-87.2169149
282,"$95,000per year","San Francisco, CA, US",Senior Designer,Jun '22,8-10 Years of Experience,31-35 Years old,37.7790262,-122.419906
283,"CAD$84,240per year","Montreal, QC, CA",Associate,Jun '22,8-10 Years of Experience,31-35 Years old,45.5031824,-73.5698065
284,"$92,000per year","New York, NY, US",Landscape Architect,Jun '22,6-7 Years of Experience,31-35 Years old,40.7127281,-74.0060152
285,"₹240,000per year","Mumbai, IN",Junior Architect,Jun '22,< 1 Years of Experience,21-25 Years old,19.0785451,72.878176
286,"$106,000per year","New York, NY, US",Senior Designer,Jun '22,8-10 Years of Experience,36-40 Years old,40.7127281,-74.0060152
287,"$54,000per year","Los Angeles, CA, US",Junior Designer,Jun '22,< 1 Years of Experience,26-30 Years old,34.0536909,-118.242766
288,CAD$40per hour,"Toronto, ON, CA",Designer,Jun '22,2 Years of Experience,26-30 Years old,43.6534817,-79.3839347
289,"€17,978per year","Prague, CZ",Junior Architect,Jun '22,3-5 Years of Experience,26-30 Years old,50.0596288,14.446459273258009
290,"$52,400per year","Cincinnati, OH, US",Designer,Jun '22,3-5 Years of Experience,26-30 Years old,39.1014537,-84.5124602
291,"$65,000per year","Birmingham, AL, US",Junior Architect,Jun '22,2 Years of Experience,26-30 Years old,33.5206824,-86.8024326
292,"$60,000per year","Denver, CO, US",Intermediate Designer,Jun '22,6-7 Years of Experience,31-35 Years old,39.7392364,-104.9848623
293,"$62,000per year","Memphis, TN, US",Designer,Jun '22,3-5 Years of Experience,21-25 Years old,35.1335022,-89.9668758
294,$20per hour,"San Francisco, CA, US",Student Intern,Jun '22,< 1 Years of Experience,21-25 Years old,37.7790262,-122.419906
295,"$49,950per year","Pensacola, FL, US",Designer,Jun '22,1 Years of Experience,26-30 Years old,30.421309,-87.2169149
296,CAD$19per hour,"Beloeil, QC, CA",Intern,Jun '22,< 1 Years of Experience,21-25 Years old,45.5643183,-73.2040066
297,"$48,500per year","Albuquerque, NM, US",Intern,Jun '22,3-5 Years of Experience,26-30 Years old,35.0841034,-106.650985
298,"£50,000per year","London, GB",Landscape Architect,Jun '22,6-7 Years of Experience,31-35 Years old,51.5073219,-0.1276474
299,"$60,000per year","Pensacola, FL, US",Project Architect,Jun '22,3-5 Years of Experience,26-30 Years old,30.421309,-87.2169149
